,date,steps,distance,runDistance,calories
211,2016-11-24,13856,10471,7911,416
212,2016-11-25,1540,1008,131,35
213,2016-11-26,5912,4146,183,143
214,2016-11-27,2490,1609,277,60
215,2016-11-28,17816,13346,198,436
216,2016-11-29,12689,9375,190,303
217,2016-11-30,2188,1414,241,68
218,2016-12-01,8713,6518,355,226
219,2016-12-02,4242,3060,218,110
220,2016-12-03,63,41,0,2
221,2016-12-04,10453,7404,726,264
222,2016-12-05,17119,12351,169,800
223,2016-12-06,1934,1358,172,47
224,2016-12-07,11154,7679,324,251
225,2016-12-08,3550,2382,156,82
226,2016-12-09,7680,5778,2043,249
227,2016-12-10,11376,7955,1894,281
228,2016-12-11,8501,6015,22,421
229,2016-12-12,2163,1425,167,49
230,2016-12-13,698,453,86,15
231,2016-12-14,13357,10234,326,374
232,2016-12-15,2953,1909,1668,138
233,2016-12-16,7494,5318,418,181
234,2016-12-17,19299,13717,417,444
235,2016-12-18,2760,1865,243,72
236,2016-12-19,10103,7099,1028,256
237,2016-12-20,4327,3069,415,108
238,2016-12-21,12705,8810,647,299
239,2016-12-22,13189,9561,271,323
240,2016-12-23,13372,9678,360,335
241,2016-12-24,7178,4826,456,162
242,2016-12-25,10819,7455,349,242
243,2016-12-26,2269,1653,126,59
244,2016-12-27,8271,6283,191,215
245,2016-12-28,0,0,0,0
246,2016-12-29,20915,15347,258,483
247,2016-12-30,19022,13515,763,442
248,2016-12-31,12287,9000,301,313
249,2017-01-01,11051,7398,11,483
250,2017-01-02,7021,5596,93,195
251,2017-01-03,5822,3983,423,145
252,2017-01-04,3136,2256,406,75
253,2017-01-05,18547,13908,517,496
254,2017-01-06,1888,1297,92,45
255,2017-01-07,7802,5555,737,198
256,2017-01-08,25523,18991,280,625
257,2017-01-09,272,176,55,7
258,2017-01-10,4002,2746,408,124
259,2017-01-11,10712,7796,340,261
260,2017-01-12,26254,18549,398,582
261,2017-01-13,4337,3314,165,128
262,2017-01-14,15605,11831,358,396
263,2017-01-15,322,208,48,9
264,2017-01-16,2269,1595,164,62
265,2017-01-17,2870,1908,174,66
266,2017-01-18,2800,1913,168,65
267,2017-01-19,2514,1741,203,76
268,2017-01-20,1528,1080,76,35
269,2017-01-21,443,286,0,11
270,2017-01-22,3548,2468,299,87
271,2017-01-23,3245,2145,1863,144
272,2017-01-24,9992,7385,248,253
273,2017-01-25,1805,1295,99,45
274,2017-01-26,20232,14693,11220,628
275,2017-01-27,9807,7387,378,266
276,2017-01-28,12307,8289,42,281
277,2017-01-29,9951,7285,5589,344
278,2017-01-30,10193,7430,392,264
279,2017-01-31,30386,21052,567,1104
280,2017-02-01,20188,14165,1510,455
281,2017-02-02,9013,6983,250,264
282,2017-02-03,1945,1344,194,58
283,2017-02-04,19452,14814,0,495
284,2017-02-05,4371,3068,362,115
285,2017-02-06,3867,2591,305,90
286,2017-02-07,7404,5374,145,358
287,2017-02-08,9447,6852,774,243
288,2017-02-09,18029,13011,275,412
289,2017-02-10,7209,4816,576,157
290,2017-02-11,12115,8832,302,297
291,2017-02-12,13506,8932,0,290
292,2017-02-13,19962,16986,12764,1195
293,2017-02-14,34,22,7,1
294,2017-02-15,4607,3234,225,115
295,2017-02-16,7248,4939,802,171
296,2017-02-17,7573,5187,511,181
297,2017-02-18,531,343,48,13
298,2017-02-19,2326,1623,152,617
299,2017-02-20,2147,1472,267,50
300,2017-02-21,12264,9503,234,325
301,2017-02-22,3367,2361,319,95
302,2017-02-23,3574,2399,1997,142
303,2017-02-24,8144,5571,4398,286
304,2017-02-25,364,235,43,11
305,2017-02-26,9926,7825,139,265
306,2017-02-27,2910,1982,216,72
307,2017-02-28,18924,13724,2281,453
308,2017-03-01,17939,12890,216,412
309,2017-03-02,11408,8276,424,286
310,2017-03-03,5282,4000,227,150
311,2017-03-04,3612,2582,163,88
312,2017-03-05,9072,6445,243,218
313,2017-03-06,2155,1454,150,56
314,2017-03-07,8596,5886,34,412
315,2017-03-08,12792,11262,8485,779
316,2017-03-09,2478,1757,1387,105
317,2017-03-10,3822,2722,242,104
318,2017-03-11,9761,7348,353,273
